"occtype","sqft","bldgtype","yrbuilt","x","y","val_struct","val_cont"
"RES1-2SNB",3122.86,"W",0,-101.212669,48.2272975,316883.829,158441.914
"RES1-2SNB",5391.54,"W",0,-101.213412,48.2272145,457019.033,228509.516
"COM1",2467.5,"W",0,-101.247127,48.221619,484622.556,484622.556
"COM1",4281.75075,"W",0,-101.2517146,48.230098678,474250.779,474250.779
"RES1-2SNB",4824.6,"W",0,-101.2704124,48.202769055,424833.23,212416.615
"COM1",1300.5,"W",0,-101.258594,48.2074045,235986.912,235986.912
"RES1-2SNB",1411.904,"W",0,-101.254642,48.2036925,198222.144,99111.0724
"RES1-2SNB",5688.04,"W",0,-101.2731256,48.20832302,475271.917,237635.958
"RES1-2SNB",2767.48,"W",0,-101.2703724,48.199989893,292932.537,146466.268
"RES1-2SNB",5768.44,"W",0,-101.2600528,48.207170024,481989.849,240994.924
"RES1-2SNB",4558.86,"W",0,-101.2695848,48.202793754,410589.202,205294.601
"RES1-2SNB",5400.58,"W",0,-101.2608257,48.206871567,457502.031,228751.015
"RES1-2SNB",26878,"W",0,-101.2735083,48.197125152,2245827.84,1122913.92
"RES1-2SNB",24099.4,"W",0,-101.2706221,48.197142415,2013658.14,1006829.07
"RES1-2SNB",4989.72,"W",0,-101.2617145,48.197919367,434592.262,217296.131
"RES1-2SNB",3317.22,"W",0,-101.2706103,48.198018385,330627.994,165313.997
"RES1-2SNB",4536.5,"W",0,-101.2700936,48.198124563,409360.152,204680.076
"RES1-2SNB",6804.74,"W",0,-101.273031,48.198341659,568579.305,284289.652
"RES1-2SNB",4820.08,"W",0,-101.2609087,48.198380528,424561.637,212280.818
"RES1-2SNB",3402.36,"W",0,-101.2713214,48.198846619,336872.771,168436.385
"RES1-2SNB",4820.08,"W",0,-101.2705345,48.198890346,424561.637,212280.818
"RES1-2SNB",4819.86,"W",0,-101.2657516,48.198932723,424548.412,212274.206
"RES1-2SNB",4536.5,"W",0,-101.2674448,48.198935113,409360.152,204680.076
"RES1-2SNB",4763.1,"W",0,-101.2713213,48.19955537,421457.493,210728.746
"RES1-2SNB",6464.18,"W",0,-101.2703226,48.199634716,540123.351,270061.675
"RES1-2SNB",5103.24,"W",0,-101.2652611,48.199796864,441118.055,220559.027
"RES1-2SNB",5897.22,"W",0,-101.2626011,48.199815266,492750.237,246375.118
"RES1-2SNB",3969.1,"W",0,-101.2647012,48.200279825,375583.247,187791.623
"RES1-2SNB",7343.54,"W",0,-101.2648974,48.200694424,613599.471,306799.735
"RES1-2SNB",7655.28,"W",0,-101.2627061,48.201177469,639647.331,319823.665
"RES1-2SNB",4791.48,"W",0,-101.2608459,48.207115539,422916.612,211458.306
"RES1-2SNB",6118.9,"W",0,-101.2221383,48.199526742,511273.011,255636.505
"RES1-2SNB",3647.04,"W",0,-101.224002,48.1977955,354195.001,177097.5
"RES1-2SNB",3704.22,"W",0,-101.2252242,48.201233883,358109.547,179054.773
"RES1-2SNB",2778.66,"W",0,-101.2263505,48.199416427,293515.06,146757.53
"RES1-2SNB",3670.48,"W",0,-101.2265065,48.218616,355805.824,177902.912
"RES1-2SNB",2263.94,"W",0,-101.2261675,48.221321,262278.857,131139.428
"RES1-2SNB",1518.544,"W",0,-101.2645169,48.229285017,139363.866,69681.9334
"RES1-2SNB",3094.7,"W",0,-101.264496,48.1830885,296506.081,148253.04
"RES1-2SNB",8123.98,"W",0,-101.2520348,48.1889889,638880.185,319440.092
"RES1-2SNB",4281.08,"W",0,-101.2411243,48.191968349,371549.829,185774.914
"RES1-2SNB",3823.12,"W",0,-101.2462499,48.185341776,344552.914,172276.457
"RES1-2SNB",5497.98,"W",0,-101.2384109,48.196160329,435431.393,217715.696
"RES1-2SNB",4515,"W",0,-101.27129,48.185496536,384161.014,192080.507
"RES1-2SNB",5832.3,"W",0,-101.2395203,48.188188443,458659.537,229329.768
"RES1-2SNB",6119.76,"W",0,-101.2449798,48.189844927,481265.759,240632.879
"RES1-2SNB",12163.4,"W",0,-101.2417938,48.193196562,956545.345,478272.672
"RES1-2SNB",3235.74,"W",0,-101.266151,48.2333965,225662.796,112831.398
"COM1",400.018916,"M",0,-101.2679414,48.235230168,106788.403,106788.403
"RES1-2SNB",717.884,"W",0,-101.2674904,48.233849276,71091.8802,35545.9401
"RES1-2SNB",3860.1,"W",0,-101.240965,48.18462219,346846.258,173423.129
"RES1-2SNB",1567.564,"W",0,-101.2678595,48.231522786,142463.829,71231.9147
"RES1-2SNB",4602.92,"W",0,-101.2672322,48.272077803,412988.384,206494.192
"RES1-2SNB",4432.44,"W",0,-101.2659702,48.271065368,300939.299,150469.649
"COM1",4656.75,"M",0,-101.2724945,48.278283808,740553.798,740553.798
"RES1-2SNB",2729.84,"W",0,-101.2724635,48.236083,201216.601,100608.3
"RES1-2SNB",2261.8,"W",0,-101.272883,48.2361415,180207.048,90103.5244
"RES1-2SNB",2314.04,"W",0,-101.2737615,48.2310915,182828.808,91414.4043
"RES1-2SNB",1443.94,"W",0,-101.273915,48.23094,134478.112,67239.056
"RES1-2SNB",2505.38,"W",0,-101.2754355,48.2428645,277890.702,138945.351
"RES1-2SNB",2233.2,"W",0,-101.2752545,48.2422505,189913.634,94956.8171
"RES1-2SNB",1751.82,"W",0,-101.2761165,48.2428265,163945.666,81972.833
"RES1-2SNB",1736.34,"W",0,-101.2764575,48.2282085,153329.749,76664.8746
"RES1-2SNB",4760.1,"W",0,-101.2781746,48.224738518,295656.96,147828.48
"RES1-2SNB",5603.76,"W",0,-101.2748007,48.219996916,330515.144,165257.572
"RES1-2SNB",6593.62,"W",0,-101.2749166,48.22029046,518530.716,259265.358
"RES1-2SNB",1536.82,"W",0,-101.279105,48.2278355,196777.37,98388.6853
"RES1-2SNB",7076.08,"W",0,-101.2785825,48.224791129,556471.988,278235.994
"RES1-2SNB",5120.64,"W",0,-101.2782468,48.222715586,310957.079,155478.539
"RES1-2SNB",8505.6,"W",0,-101.2748717,48.240954027,533022.731,266511.365
"RES1-2SNB",2556.78,"M",0,-101.2767653,48.228688974,264517.649,132258.824
"RES1-2SNB",1825.994,"M",0,-101.2765454,48.22898117,158517.033,79258.5169
"RES1-2SNB",2018.42,"W",0,-101.274987,48.2280915,167075.76,83537.8801
"RES1-2SNB",4429.86,"W",0,-101.278938,48.204480109,283134.539,141567.269
"RES1-2SNB",8567.32,"W",0,-101.2774158,48.20570172,505308.758,252654.379
"RES1-2SNB",3765.08,"W",0,-101.278198,48.205228002,253509.165,126754.582
"RES1-2SNB",8490.78,"W",0,-101.2779766,48.204115611,500794.355,250397.177
"RES1-2SNB",8664.06,"W",0,-101.2774354,48.205161133,511014.576,255507.288
"COM1",799.865222,"S",0,-101.2781844,48.420072287,136604.635,136604.635
"RES1-2SNB",1799.98,"W",0,-101.2264005,48.2173695,231171.002,115585.501
"COM1",4070,"C",0,-101.2264161,48.216956837,671811.253,671811.253
"RES1-2SNB",5393.7,"W",0,-101.2295848,48.21813391,457134.526,228567.263
"RES1-2SNB",4148.84,"W",0,-101.2269638,48.197344053,364067.873,182033.936
"RES1-2SNB",5460.14,"W",0,-101.2306023,48.198315591,433562.872,216781.436
"RES1-2SNB",5389.82,"W",0,-101.230957,48.198832208,430048.967,215024.483
"COM1",8579.37,"M",0,-101.2511872,48.2163313,1130524.38,1130524.38
"RES1-2SNB",5094.84,"W",0,-101.2794081,48.298247468,414720.28,207360.14
"RES1-2SNB",5386.38,"M",0,-101.2791828,48.219784977,429875.684,214937.842
"RES1-2SNB",4282.36,"W",0,-101.2784845,48.21888456,371621.005,185810.502
"RES1-2SNB",4990.14,"W",0,-101.2778477,48.218449508,305403.246,152701.623
"RES1-2SNB",6180.38,"W",0,-101.2808299,48.22028513,364524.745,182262.372
"RES1-2SNB",4914.46,"W",0,-101.2802328,48.223018149,302125.638,151062.819
"RES1-2SNB",1701.51,"W",0,-101.2807195,48.244432,160561.927,80280.9639
"RES1-2SNB",2318.34,"W",0,-101.2801019,48.24503225,194481.608,97240.8043
"RES1-2SNB",2438.74,"W",0,-101.281118,48.2450455,273642.53,136821.265
"RES1-2SNB",1474.9,"W",0,-101.2804965,48.245044,145063.395,72531.6977
"RES1-2SNB",2125.48,"W",0,-101.2811119,48.244476197,183852.91,91926.4552
"COM1",1666.87,"W",0,-101.281403,48.2348315,284675.67,284675.67
"RES1-2SNB",2030.24,"W",0,-101.2822535,48.2352355,167748.372,83874.1861
"RES1-2SNB",4628.3,"W",0,-101.281405,48.246460835,308977.178,154488.589
"RES1-2SNB",5064.54,"W",0,-101.2813947,48.246283668,438910.154,219455.077
"RES1-2SNB",2523.02,"W",0,-101.281758,48.250706,204660.051,102330.025
"RES1-2SNB",3612.42,"W",0,-101.2842905,48.250261391,261098.813,130549.406
"RES1-2SNB",2546.02,"W",0,-101.2828411,48.248300966,205732.908,102866.454
"COM1",399.911751,"W",0,-101.2843096,48.249177359,72567.4273,72567.4273
"RES1-2SNB",2468.62,"W",0,-101.2859008,48.229287342,190179.297,95089.6489
"COM1",399.971766,"M",0,-101.2840917,48.230365805,68309.0047,68309.0047
"RES1-2SNB",1058.014,"W",0,-101.2848925,48.226891,148687.87,74343.9352
"RES1-2SNB",3011.92,"W",0,-101.2853892,48.22986013,291298.098,145649.049
"COM1",6519.98194,"S",0,-101.2866291,48.232127254,890849.617,890849.617
"RES1-2SNB",2106.78,"W",0,-101.286014,48.2280785,236344.72,118172.36
"RES1-2SNB",1490.38,"W",0,-101.2853804,48.229541308,193099.028,96549.5143
"RES1-2SNB",4744.82,"W",0,-101.2832385,48.247302897,313547.827,156773.913
"RES1-2SNB",3386.88,"W",0,-101.2863207,48.247062022,248490.892,124245.446
"RES1-2SNB",3667.04,"W",0,-101.2845392,48.2473122,264078.135,132039.067
"RES1-2SNB",2306.94,"W",0,-101.27624,48.3083685,249552.843,124776.421
"COM1",1159,"M",0,-101.2941975,48.311857,224005.953,224005.953
"RES1-2SNB",1493.604,"W",0,-101.283325,48.24148,193358.955,96679.4776
"RES1-2SNB",2807.04,"W",0,-101.2833978,48.241236491,277764.653,138882.326
"RES1-2SNB",5491.1,"W",0,-101.2834488,48.203866987,326047.477,163023.738
"RES1-2SNB",7661.74,"W",0,-101.2815771,48.20532461,451896.78,225948.39
"RES1-2SNB",5306.2,"W",0,-101.2830718,48.203388011,425800.16,212900.08
"RES1-2SNB",6878.28,"W",0,-101.2808486,48.20369933,405687.557,202843.778
"RES1-2SNB",4513.7,"W",0,-101.2840911,48.203295013,286426.499,143213.249
"RES1-2SNB",5279.96,"W",0,-101.280936,48.203162543,317569.327,158784.663
"RES1-2SNB",4298.28,"W",0,-101.2824397,48.20277921,372504.265,186252.132
"RES1-2SNB",2334.24,"W",0,-101.283214,48.2358725,163148.103,81574.0515
"RES1-2SNB",507.83,"W",0,-101.2833155,48.2341415,71367.8281,35683.914
"RES1-2SNB",2644.7,"W",0,-101.2830923,48.235371744,269380.787,134690.393
"COM1",13678,"W",0,-101.3019517,48.201697563,1594867.05,1594867.05
"COM1",24582,"M",0,-101.2999012,48.205664328,2587374.67,2587374.67
"COM1",22173.5,"W",0,-101.3071895,48.198311474,2373279.63,2373279.63
"COM1",6258.23255,"M",0,-101.2977055,48.200755484,652848.415,652848.415
"COM1",12631.5,"M",0,-101.2856735,48.236021353,1497855.94,1497855.94
"COM1",62659,"S",0,-101.2981275,48.204699166,5889014.87,5889014.87
"COM1",11047.1,"W",0,-101.3005208,48.211477617,1343094.09,1343094.09
"COM1",775.958948,"W",0,-101.2831097,48.212024221,132521.812,132521.812
"COM1",8175.92,"S",0,-101.2809497,48.21210114,1056850.8,1056850.8
"RES1-2SNB",2692.86,"W",0,-101.286034,48.2418395,271925.37,135962.685
"RES1-2SNB",2048.52,"W",0,-101.285326,48.2492645,179330.425,89665.2125
"COM1",5262.35636,"S",0,-101.2901645,48.21175451,563447.677,563447.677
"COM1",15333.8909,"W",0,-101.2884075,48.211883751,1616042.65,1616042.65
"RES1-2SNB",1987.244,"W",0,-101.283549,48.225708,165515.351,82757.6757
"RES1-2SNB",3402.16,"W",0,-101.2861626,48.21735971,234692.325,117346.162
"RES1-2SNB",3305.84,"W",0,-101.287291,48.250454,329784.805,164892.402
"RES1-2SNB",3443.22,"W",0,-101.2866784,48.250015604,339829.905,169914.952
"RES1-2SNB",3261.12,"W",0,-101.287118,48.249005,241247.15,120623.575
"COM1",7781,"M",0,-101.28738,48.225713862,1017797.4,1017797.4
"COM1",9200,"M",0,-101.28702,48.22591,1157436.96,1157436.96
"RES1-2SNB",2231.7,"W",0,-101.2877569,48.248565945,189831.395,94915.6979
"RES1-2SNB",2479.38,"W",0,-101.287836,48.24827,202585.047,101292.523
"COM1",2001.13417,"S",0,-101.286328,48.209982004,317790.139,317790.139
"COM1",395.713311,"S",0,-101.288181,48.232088,67581.7263,67581.7263
"RES1-2SNB",3745.72,"W",0,-101.2899515,48.2180535,252535.649,126267.824
"RES1-2SNB",3687.88,"W",0,-101.2892125,48.218047,249606.848,124803.424
