state,yearOfLoss,floodEvent,occupancyType,count,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,buildingDamageAmount,contentsDamageAmount
DE,1999,Hurricane Floyd,1.0,172,1701133.3,202007.29,15000.0,1920340.0,396514.0
DE,1999,Hurricane Floyd,2.0,5,91031.79,21300.0,0.0,95198.0,23447.0
DE,1999,Hurricane Floyd,3.0,1,0.0,2208.33,0.0,0.0,2709.0
DE,1999,Hurricane Floyd,4.0,39,2444894.0300000003,2152784.08,0.0,2581730.0,2343730.0
DE,1999,Hurricane Floyd,6.0,2,37806.8,469673.98,0.0,46304.0,472675.0
DE,2003,Flooding,1.0,11,20254.239999999998,565.1800000000001,0.0,32532.0,2913.0
DE,2003,Flooding,4.0,2,16338.32,26597.7,0.0,20339.0,31098.0
DE,2003,Hurricane Isabel,1.0,49,330471.19,14482.44,37918.33,372398.0,26637.0
DE,2003,Hurricane Isabel,4.0,12,349340.81,528934.61,0.0,368345.0,577685.0
DE,2003,Hurricane Isabel,6.0,1,9424.21,10299.49,0.0,10425.0,11300.0
DE,2011,Hurricane Irene,1.0,146,1159955.25,144813.02000000002,27400.0,1238862.0,184028.0
DE,2011,Hurricane Irene,2.0,9,79106.75,9150.56,0.0,87108.0,10153.0
DE,2011,Hurricane Irene,3.0,4,88490.35,0.0,0.0,92489.0,371.0
DE,2011,Hurricane Irene,4.0,32,892052.13,449321.74,0.0,934049.0,470568.0
DE,2011,Hurricane Irene,6.0,14,935867.91,251005.77,0.0,957873.0,263009.0
DE,2012,Hurricane Sandy,1.0,1346,12098057.28,859323.9299999999,221194.0,13663156.0,1225620.0
DE,2012,Hurricane Sandy,2.0,61,568589.55,18737.57,0.0,637560.0,28213.0
DE,2012,Hurricane Sandy,3.0,49,2466661.15,73527.42,0.0,2284565.0,88738.0
DE,2012,Hurricane Sandy,4.0,25,577810.24,222923.46,0.0,660777.0,281474.0
DE,2012,Hurricane Sandy,6.0,15,333224.67,37534.810000000005,0.0,353083.0,47227.0
DE,2014,Mid-spring storms,1.0,15,74995.13,2004.59,0.0,88796.0,4005.0
DE,2014,Mid-spring storms,2.0,2,11894.58,1350.01,0.0,13895.0,2351.0
DE,2014,Mid-spring storms,3.0,4,88189.75,0.0,0.0,98209.0,0.0
DE,2014,Mid-spring storms,4.0,7,35365.38,91903.55,0.0,41364.0,94904.0
DE,2014,Mid-spring storms,6.0,6,257431.17,75011.01000000001,0.0,266052.0,79012.0
DE,2021,Hurricane Ida,1.0,65,974852.81,50655.45,0.0,1052225.0,65072.0
DE,2021,Hurricane Ida,2.0,2,59925.21,0.0,0.0,76176.0,0.0
DE,2021,Hurricane Ida,3.0,13,3274394.1799999997,0.0,0.0,2963471.0,473.0
DE,2021,Hurricane Ida,6.0,10,1769287.3,514862.4,0.0,1947357.0,568462.0
FL,1979,Flooding,1.0,2974,1862054.51,968206.18,0.0,2445034.0,1343286.0
FL,1979,Flooding,2.0,219,74122.52,154032.11,0.0,89579.0,200739.0
FL,1979,Flooding,3.0,632,749607.06,233448.1,0.0,1047097.0,325988.0
FL,1979,Flooding,4.0,210,174915.49,526377.5,0.0,214251.0,634290.0
FL,1979,Severe Storms and Flooding,1.0,138,362953.99,150168.05,0.0,396935.0,166326.0
FL,1979,Severe Storms and Flooding,2.0,3,1648.3,0.0,0.0,1849.0,0.0
FL,1979,Severe Storms and Flooding,3.0,2,2137.32,0.0,0.0,2648.0,0.0
FL,1979,Severe Storms and Flooding,4.0,24,318462.2,246880.21,0.0,454061.0,379518.0
FL,1980,Flooding,1.0,212,193820.57,80348.33,0.0,238651.0,110612.0
FL,1980,Flooding,2.0,17,24602.95,2829.85,0.0,28220.0,4097.0
FL,1980,Flooding,3.0,9,7981.7,282.0,0.0,9573.0,687.0
FL,1980,Flooding,4.0,42,68235.53,63634.42,0.0,95794.0,67933.0
FL,1981,Flooding,1.0,1680,864000.88,133754.65,0.0,1144681.0,179715.0
FL,1981,Flooding,2.0,62,10777.65,5914.92,0.0,20051.0,8586.0
FL,1981,Flooding,3.0,226,52692.13,10705.45,0.0,102526.0,16237.0
FL,1981,Flooding,4.0,52,74323.97,91936.41,0.0,78735.0,108387.0
FL,1982,Flooding,1.0,181,159158.69,62409.12,0.0,188804.0,101967.0
FL,1982,Flooding,2.0,15,10720.13,4677.139999999999,0.0,14309.0,9068.0
FL,1982,Flooding,3.0,41,54817.08,4341.91,0.0,65196.0,6376.0
FL,1982,Flooding,4.0,37,16856.4,30311.95,0.0,23589.0,36127.0
FL,1982,The 'No-Name Storm',1.0,2721,4592655.42,2951987.58,0.0,5357480.0,3993984.0
FL,1982,The 'No-Name Storm',2.0,369,657086.42,317359.63,0.0,817807.0,447860.0
FL,1982,The 'No-Name Storm',3.0,361,650865.2,134385.18,0.0,716850.0,175115.0
FL,1982,The 'No-Name Storm',4.0,329,467362.42,326946.58,0.0,564138.0,558953.0
FL,1984,Flooding,1.0,270,316514.82,110339.21,0.0,414275.0,175525.0
FL,1984,Flooding,2.0,24,57336.55,10588.57,0.0,68664.0,12090.0
FL,1984,Flooding,3.0,113,196415.02000000002,31379.63,0.0,286099.0,43685.0
FL,1984,Flooding,4.0,54,599382.89,41822.28,0.0,726530.0,47274.0
FL,1985,Hurricane Elena,1.0,7765,38616824.43,22098967.28,0.0,48493601.0,34379172.0
FL,1985,Hurricane Elena,2.0,721,3528267.51,968158.19,0.0,4236238.0,1324429.0
FL,1985,Hurricane Elena,3.0,727,4747894.36,1091398.75,0.0,6210896.0,1496384.0
FL,1985,Hurricane Elena,4.0,623,4217353.26,2038400.2,0.0,6681348.0,2694593.0
FL,1985,Hurricane Kate,1.0,747,3049298.42,880576.2,0.0,4217345.0,1734139.0
FL,1985,Hurricane Kate,2.0,31,476560.01,42786.91,0.0,498748.0,60491.0
FL,1985,Hurricane Kate,3.0,25,238177.87,573.7,0.0,249056.0,1657.0
FL,1985,Hurricane Kate,4.0,126,1075342.06,263618.36,0.0,1540803.0,362459.0
FL,1988,Flooding,1.0,2196,5723760.0200000005,2391040.62,0.0,8047323.0,25706001.0
FL,1988,Flooding,2.0,194,469879.58999999997,149377.79,0.0,596615.0,241196.0
FL,1988,Flooding,3.0,222,602950.29,143421.69,0.0,718658.0,213382.0
FL,1988,Flooding,4.0,199,742885.1900000001,509153.57,0.0,886175.0,650898.0
FL,1990,Flooding,1.0,87,773452.08,198537.95,0.0,1486070.0,246006.0
FL,1990,Flooding,2.0,3,21344.08,4094.62,0.0,27345.0,4595.0
FL,1990,Flooding,3.0,2,0.0,0.0,0.0,0.0,0.0
FL,1990,Flooding,4.0,6,184002.14,13331.76,0.0,1717930.0,8250.0
